Timestamp,Total Throughput,Offered Load    
2014-04-13T03:28:00+03:00,9186.7396038,13559.985002
2014-04-13T03:32:00+03:00,9105.5425688,13945.303333
2014-04-13T03:36:00+03:00,9006.960904,13307.304956
2014-04-13T03:40:00+03:00,8486.5203783,11751.469364
2014-04-13T03:44:00+03:00,8832.9869648,9541.5493174
2014-04-13T03:48:00+03:00,6982.7047,7052.3325987
2014-04-13T03:52:00+03:00,4739.385435,4759.3821009
2014-04-13T03:56:00+03:00,2995.3380596,3003.4356514
2014-04-13T04:00:00+03:00,2108.6746215,2115.609351
2014-04-13T04:04:00+03:00,2240.7317817,2244.5528641
2014-04-13T04:08:00+03:00,3366.6886101,3376.0411776
2014-04-13T04:12:00+03:00,5277.4175135,5290.7021708
2014-04-13T04:16:00+03:00,7570.3847825,7684.5818157
2014-04-13T04:20:00+03:00,9103.8314779,10132.578351
2014-04-13T04:24:00+03:00,9463.0566247,12210.223182
2014-04-13T04:28:00+03:00,9527.4730676,13557.282147
2014-04-13T04:32:00+03:00,9545.1793337,13945.638472
2014-04-13T04:36:00+03:00,9491.4743823,13304.755772
2014-04-13T04:40:00+03:00,9330.0681578,11741.886137
2014-04-13T04:44:00+03:00,8617.5920357,9541.7575814
2014-04-13T04:48:00+03:00,7006.8685493,7060.9373755
2014-04-13T04:52:00+03:00,4733.528802,4754.6956708
2014-04-13T04:56:00+03:00,2994.1173456,3001.8055561
2014-04-13T05:00:00+03:00,2106.9551386,2114.3051884
2014-04-13T05:04:00+03:00,2239.9420996,2244.1858004
2014-04-13T05:08:00+03:00,3368.328332,3373.6811047
2014-04-13T05:12:00+03:00,5277.2197482,5294.1999847
2014-04-13T05:16:00+03:00,7604.7179113,7685.0722103
2014-04-13T05:20:00+03:00,9321.5819192,10133.013397
2014-04-13T05:24:00+03:00,9816.4236344,12206.126194
2014-04-13T05:28:00+03:00,9808.3319787,13562.728874
2014-04-13T05:32:00+03:00,9911.150488,13945.039071
2014-04-13T05:36:00+03:00,9858.5404696,13306.575792
2014-04-13T05:40:00+03:00,9731.5426176,11746.117655
2014-04-13T05:44:00+03:00,9037.0327654,9540.5826168
2014-04-13T05:48:00+03:00,6985.6900828,7070.8256286
2014-04-13T05:52:00+03:00,4736.7450153,4755.567063
2014-04-13T05:56:00+03:00,2993.6833239,3004.5229397
2014-04-13T06:00:00+03:00,2110.334738,2115.5428378
2014-04-13T06:04:00+03:00,2239.0237836,2243.9214255
2014-04-13T06:08:00+03:00,3363.7295655,3369.6434968
2014-04-13T06:12:00+03:00,5276.1383868,5292.7803724
2014-04-13T06:16:00+03:00,7617.3307415,7683.0640276
2014-04-13T06:20:00+03:00,9551.7263284,10135.985148
2014-04-13T06:24:00+03:00,10247.890448,12213.497251
2014-04-13T06:28:00+03:00,10351.247806,13556.22506
2014-04-13T06:32:00+03:00,10346.701185,13944.991641
2014-04-13T06:36:00+03:00,10344.817898,13299.117197
2014-04-13T06:40:00+03:00,10173.071477,11744.634472
2014-04-13T06:44:00+03:00,9209.1556696,9544.9028699
2014-04-13T06:48:00+03:00,7022.3270953,7068.8895575
2014-04-13T06:52:00+03:00,4734.4603298,4757.5693905
2014-04-13T06:56:00+03:00,2990.7932757,3002.2622122
2014-04-13T07:00:00+03:00,2109.2953121,2116.0793847
2014-04-13T07:04:00+03:00,2240.7066528,2244.6308703
2014-04-13T07:08:00+03:00,3364.6557723,3367.8281631
2014-04-13T07:12:00+03:00,5270.66481,5287.1014144
2014-04-13T07:16:00+03:00,7629.0983562,7683.8623678
2014-04-13T07:20:00+03:00,9738.2896934,10138.519697
2014-04-13T07:24:00+03:00,10594.229509,12204.533032
2014-04-13T07:28:00+03:00,10768.737245,13557.381297
2014-04-13T07:32:00+03:00,10875.043271,13946.558685
2014-04-13T07:36:00+03:00,10824.075733,13307.693377
2014-04-13T07:40:00+03:00,10537.406352,11756.354757
2014-04-13T07:44:00+03:00,9312.821863,9548.9394205
2014-04-13T07:48:00+03:00,7024.5878348,7067.5574547
2014-04-13T07:52:00+03:00,4746.3110921,4764.0176879
2014-04-13T07:56:00+03:00,2995.4818793,3004.4854161
2014-04-13T08:00:00+03:00,2109.8517245,2115.1418037
2014-04-13T08:04:00+03:00,2238.8579429,2244.1636991
2014-04-13T08:08:00+03:00,3358.7248406,3367.2554548
2014-04-13T08:12:00+03:00,5276.8170151,5292.552903
2014-04-13T08:16:00+03:00,7639.5523311,7686.0128125
2014-04-13T08:20:00+03:00,9820.5370061,10132.935376
2014-04-13T08:24:00+03:00,10866.802514,12206.767056
2014-04-13T08:28:00+03:00,11119.556558,13558.18029
2014-04-13T08:32:00+03:00,11193.03838,13945.822167
2014-04-13T08:36:00+03:00,11126.146194,13305.094934
2014-04-13T08:40:00+03:00,10747.963623,11748.22253
2014-04-13T08:44:00+03:00,9348.0213277,9537.2240239
2014-04-13T08:48:00+03:00,7020.1891128,7065.6779704
2014-04-13T08:52:00+03:00,4738.6069993,4753.5296523
2014-04-13T08:56:00+03:00,2989.3323423,3004.3138311
2014-04-13T09:00:00+03:00,2110.3135341,2116.1401986
2014-04-13T09:04:00+03:00,2238.2617244,2243.5394711
2014-04-13T09:08:00+03:00,3359.4092468,3368.4465364
2014-04-13T09:12:00+03:00,5278.6102894,5293.9360111
2014-04-13T09:16:00+03:00,7641.0142453,7688.1449703
2014-04-13T09:20:00+03:00,9906.6988781,10132.468051
2014-04-13T09:24:00+03:00,11185.866228,12200.197166
2014-04-13T09:28:00+03:00,11571.537868,13557.991005
2014-04-13T09:32:00+03:00,11605.972072,13946.416237
2014-04-13T09:36:00+03:00,11533.663515,13302.813621
2014-04-13T09:40:00+03:00,10986.21763,11743.619022
2014-04-13T09:44:00+03:00,9394.8792349,9543.1430177
2014-04-13T09:48:00+03:00,7024.7998519,7066.5993614
2014-04-13T09:52:00+03:00,4740.073843,4757.7691862
2014-04-13T09:56:00+03:00,2990.8854419,3003.7471549
2014-04-13T10:00:00+03:00,2109.2042973,2113.8209425
2014-04-13T10:04:00+03:00,2238.3907378,2244.4304252
2014-04-13T10:08:00+03:00,3365.8958097,3368.4362589
2014-04-13T10:12:00+03:00,5278.3000745,5288.018954
2014-04-13T10:16:00+03:00,7636.652259,7679.8486001
2014-04-13T10:20:00+03:00,9966.2232828,10139.699651
2014-04-13T10:24:00+03:00,11403.858162,12217.534197
2014-04-13T10:28:00+03:00,11834.637245,13561.728514
2014-04-13T10:32:00+03:00,11974.246473,13944.965674
2014-04-13T10:36:00+03:00,11787.303454,13302.223226
2014-04-13T10:40:00+03:00,11102.682459,11747.108664
2014-04-13T10:44:00+03:00,9414.8817945,9540.278053
2014-04-13T10:48:00+03:00,7037.9890667,7072.9349743
2014-04-13T10:52:00+03:00,4738.1118032,4756.811456
2014-04-13T10:56:00+03:00,2991.3230738,3001.7971202
2014-04-13T11:00:00+03:00,2105.8016624,2115.3992156
2014-04-13T11:04:00+03:00,2236.2626685,2244.0924593
2014-04-13T11:08:00+03:00,3360.1423307,3368.6755321
2014-04-13T11:12:00+03:00,5277.1415661,5292.1964181
2014-04-13T11:16:00+03:00,7650.5146241,7691.084653
2014-04-13T11:20:00+03:00,9941.1262916,10130.331875
2014-04-13T11:24:00+03:00,11436.70041,12205.558056
2014-04-13T11:28:00+03:00,11862.389461,13559.214887
2014-04-13T11:32:00+03:00,11986.889192,13945.779121
2014-04-13T11:36:00+03:00,11803.05678,13301.634527
2014-04-13T11:40:00+03:00,11156.679293,11748.254133
2014-04-13T11:44:00+03:00,9416.8638122,9539.999512
2014-04-13T11:48:00+03:00,7024.3845617,7065.3902194
2014-04-13T11:52:00+03:00,4738.256057,4754.8141914
2014-04-13T11:56:00+03:00,2991.3586952,3005.1545476
2014-04-13T12:00:00+03:00,2105.0587882,2113.2111646
2014-04-13T12:04:00+03:00,2236.9244532,2243.7639092
2014-04-13T12:08:00+03:00,3365.8307835,3371.681853
2014-04-13T12:12:00+03:00,5282.1655343,5296.5764391
2014-04-13T12:16:00+03:00,7654.8128472,7690.7846526
2014-04-13T12:20:00+03:00,9961.3277319,10133.184983
2014-04-13T12:24:00+03:00,11428.148088,12210.603973
2014-04-13T12:28:00+03:00,11866.327722,13557.869023
2014-04-13T12:32:00+03:00,11944.740176,13945.243493
2014-04-13T12:36:00+03:00,11838.986392,13302.211581
2014-04-13T12:40:00+03:00,11140.812708,11751.678816
2014-04-13T12:44:00+03:00,9417.223744,9542.0397968
2014-04-13T12:48:00+03:00,7024.6291085,7059.0732674
2014-04-13T12:52:00+03:00,4736.6142419,4753.121001
2014-04-13T12:56:00+03:00,2991.795172,3004.3942888
2014-04-13T13:00:00+03:00,2108.1860532,2116.046759
2014-04-13T13:04:00+03:00,2239.6518002,2244.800897
2014-04-13T13:08:00+03:00,3363.5451682,3370.2981176
2014-04-13T13:12:00+03:00,5279.7224625,5294.6952687
2014-04-13T13:16:00+03:00,7647.6754849,7688.8492534
2014-04-13T13:20:00+03:00,9940.0976809,10129.02696
2014-04-13T13:24:00+03:00,11435.152516,12213.028692
2014-04-13T13:28:00+03:00,11835.532579,13561.1733
2014-04-13T13:32:00+03:00,11985.094465,13945.630012
2014-04-13T13:36:00+03:00,11870.313742,13305.209783
2014-04-13T13:40:00+03:00,11197.095834,11743.020391
2014-04-13T13:44:00+03:00,9408.1505234,9538.8461169
2014-04-13T13:48:00+03:00,7036.2454469,7067.7003215
2014-04-13T13:52:00+03:00,4731.7173475,4753.8565132
2014-04-13T13:56:00+03:00,2990.9263556,3002.4697739
2014-04-13T14:00:00+03:00,2109.6627051,2116.1058295
2014-04-13T14:04:00+03:00,2237.3651184,2244.1373649
2014-04-13T14:08:00+03:00,3365.1037007,3370.1872418
2014-04-13T14:12:00+03:00,5280.2626718,5295.3575377
2014-04-13T14:16:00+03:00,7650.9108482,7684.6574653
2014-04-13T14:20:00+03:00,9949.426147,10131.193293
2014-04-13T14:24:00+03:00,11436.103519,12209.397972
2014-04-13T14:28:00+03:00,11921.708564,13557.524205
2014-04-13T14:32:00+03:00,11971.537159,13946.156254
2014-04-13T14:36:00+03:00,11808.926265,13305.301803
2014-04-13T14:40:00+03:00,11176.990643,11748.01265
2014-04-13T14:44:00+03:00,9406.940384,9535.0314922
2014-04-13T14:48:00+03:00,7031.6838214,7070.4287845
2014-04-13T14:52:00+03:00,4737.6443373,4755.2174285
2014-04-13T14:56:00+03:00,2992.5005422,3002.864494
2014-04-13T15:00:00+03:00,2110.8758197,2116.463852
2014-04-13T15:04:00+03:00,2239.8522756,2246.0586636
2014-04-13T15:08:00+03:00,0,0
