Apr28 14:45:49 [DEBUG]      RLDecisionMaker: New decision in 0.5 mins, see you later!
Apr28 14:46:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: None
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION current lambda: 3906.57738657 lambda range: 2906.57738657 - 4906.57738657
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 132
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 18
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8 met: {'inlambda': 3779.8262212366662, 'latency': 12.344941586794445, 'throughput': 3769.6137906600002}
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 132
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 27
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9 met: {'inlambda': 3655.7801817451164, 'latency': 3838.5608416803534, 'throughput': 3617.8367698124389}
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state 9 current reward : -1437.60004973 training set reward: -1437.60004973
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION adding current state 9 with gain -1437.60004973
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 18
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 10 met: {'inlambda': 3802.766563492778, 'latency': 10.882017805453891, 'throughput': 3792.1095711672219}
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 18
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 11 met: {'inlambda': 3913.0153291050001, 'latency': 9.7858585753827771, 'throughput': 3901.356477721667}
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 18
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 12 met: {'inlambda': 3801.3639547744438, 'latency': 10.586187234825557, 'throughput': 3787.9964691961109}
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of self.memory[state]['arrayMeas']: 121
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: DOKMEANS length of sliced_data to be fed to kmeans: 18
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 13 met: {'inlambda': 3800.0736368688886, 'latency': 9.1393507127433349, 'throughput': 3788.5042031149987}
