State		Lambda		Throughput		Latency		CPU		Time
9		7654.2651626		6655.57260675		14.5359515055		0		2014-04-12 22:45:05
9		7339.59948778		6673.5185843		27.0501539626		0		2014-04-12 22:45:35
9		7027.01579356		6405.32120433		30.8174830326		0		2014-04-12 22:46:05
9		6716.77947047		6425.87161447		19.4556402016		0		2014-04-12 22:46:35
9		6409.49428663		6223.95667692		16.2292625289		0		2014-04-12 22:47:05
9		6106.11527707		5998.29826033		15.538499415		0		2014-04-12 22:47:35
9		5823.97760693		5768.55294641		12.820504475		0		2014-04-12 22:48:05
9		5546.25458305		5505.98931025		11.7400044764		0		2014-04-12 22:48:35
9		5258.7851745		5218.44915435		16.7792063029		0		2014-04-12 22:49:05
9		4978.66864027		4951.64285521		9.67691759259		0		2014-04-12 22:49:36
9		4707.46274803		4687.27254024		9.5674901848		0		2014-04-12 22:50:06
9		4458.24581629		4434.45232677		12.1582336361		0		2014-04-12 22:50:36
9		4204.42513893		4181.22247362		6.6203532028		0		2014-04-12 22:51:06
9		3961.26968173		3945.53793823		9.97098122335		0		2014-04-12 22:51:36
9		3729.52599188		3711.34412198		9.5006880122		0		2014-04-12 22:52:06
9		3509.56925134		3486.97745989		8.19119046172		0		2014-04-12 22:52:36
9		3324.92420438		3315.18475916		10.3178630891		0		2014-04-12 22:53:06
9		3130.00879039		3113.33439051		11.8672086724		0		2014-04-12 22:53:36
9		2958.48018089		2954.20208078		7.36894909644		0		2014-04-12 22:54:06
9		2790.40288057		2773.53182405		10.4369573572		0		2014-04-12 22:54:36
9		2638.00810996		2626.07816355		14.0572645503		0		2014-04-12 22:55:06
9		2501.47925293		2485.06337751		12.0461020133		0		2014-04-12 22:55:36
9		2379.58723451		2366.36297465		13.2107271255		0		2014-04-12 22:56:06
9		2280.10162691		2275.88982115		7.18059119577		0		2014-04-12 22:56:36
9		2195.4773497		2185.93826631		10.2795212635		0		2014-04-12 22:57:06
9		2125.63932892		2128.47769541		4.9787049987		0		2014-04-12 22:57:36
9		2068.24709627		2066.61789982		9.61647010101		0		2014-04-12 22:58:06
9		2027.53409028		2026.92750224		9.51856886219		0		2014-04-12 22:58:36
9		2004.2010555		1990.6503494		13.1691468918		0		2014-04-12 22:59:06
9		1998.2063206		1985.27251151		19.551518287		0		2014-04-12 22:59:37
9		2008.53629248		2004.51373882		8.23240130833		0		2014-04-12 23:00:07
9		2034.28936984		2031.05765533		8.07153703704		0		2014-04-12 23:00:37
9		2075.21291085		2074.80411304		5.05384102564		0		2014-04-12 23:01:07
9		2135.29533211		2135.08480255		9.64972791176		0		2014-04-12 23:01:37
9		2213.00728568		2205.42677979		10.9517597133		0		2014-04-12 23:02:07
9		2306.73932736		2301.0262518		8.54857367538		0		2014-04-12 23:02:37
9		2417.56944238		2408.39891953		12.011313198		0		2014-04-12 23:03:07
9		2536.69624376		2516.26357797		14.8564988596		0		2014-04-12 23:03:37
9		2661.72306628		2657.23371848		10.8341980905		0		2014-04-12 23:04:07
9		2816.50238622		2802.54128022		8.89050028428		0		2014-04-12 23:04:37
